5,2025/9/17,121400.00,-9329.08,5920.00
1,2025/9/18,646278.00,38412.52,2827.00
4,2025/9/18,3533.00,2828.85,630.00
2,2025/9/18,2168355.35,106312.91,130297.37
3,2025/9/18,3147571.00,62291.77,245392.00
5,2025/9/18,121400.00,-9329.08,5680.00
1,2025/9/19,937117.00,38412.52,-5017.00
4,2025/9/19,3533.00,2828.85,592.00
2,2025/9/19,2168355.35,106312.91,117029.83
3,2025/9/19,3147571.00,62291.77,217496.00
5,2025/9/19,121400.00,-9329.08,6200.00
1,2025/9/22,957484.00,41144.93,23123.00
4,2025/9/22,3533.00,2828.85,679.00
2,2025/9/22,2168355.35,106312.91,131077.29
3,2025/9/22,3167671.00,62291.77,206257.00
5,2025/9/22,121400.00,-9329.08,3400.00
1,2025/9/23,659972.00,26018.41,32309.00
4,2025/9/23,3533.00,2828.85,825.00
2,2025/9/23,2250500.35,106312.91,94670.77
3,2025/9/23,3294111.00,62291.77,169142.00
5,2025/9/23,121400.00,-9329.08,3280.00
1,2025/9/24,846252.00,26018.41,48691.00
4,2025/9/24,3533.00,2828.85,859.00
2,2025/9/24,2250500.35,106312.91,134298.01
3,2025/9/24,3294111.00,62291.77,233570.00
5,2025/9/24,121400.00,-9329.08,3120.00
1,2025/9/25,799068.00,31227.23,43277.00
4,2025/9/25,3533.00,2828.85,781.00
2,2025/9/25,2250500.35,106312.91,144980.87
3,2025/9/25,3294111.00,62291.77,257629.00
5,2025/9/25,121400.00,-9329.08,1920.00
1,2025/9/26,546438.00,30191.60,28279.00
4,2025/9/26,3533.00,2828.85,815.00
2,2025/9/26,2250500.35,106312.91,112874.19
3,2025/9/26,3294111.00,62291.77,208101.00
5,2025/9/26,121400.00,-9329.08,840.00
1,2025/9/28,546438.00,30191.60,28279.00
4,2025/9/28,3533.00,2828.85,857.00
2,2025/9/28,2250500.35,106312.91,112874.19
3,2025/9/28,3294111.00,62291.77,208101.00
5,2025/9/28,121400.00,-9329.08,1520.00
